course,title,due,points,path
4543-5993-Spatial-Data,Development Environment & Workflow Setup,2026-02-08 23:59,0,Assignments/Part_00
4543-5993-Spatial-Data,Raw Spatial Data,2026-02-08 23:59,0,Assignments/.Part_02/02-Raw_Spatial_Data
4543-5993-Spatial-Data,Hello GeoJson,2026-02-08 23:59,0,Assignments/.Part_02/01-Hello_GeoJson
4543-5993-Spatial-Data,03-Loops_and_Iteration Quiz,2026-02-15 23:59,0,Assignments/Part_01/03-Loops_and_Iteration
4543-5993-Spatial-Data,01-Working_with_Data_Basic Quiz,2026-02-15 23:59,0,Assignments/Part_01/01-Working_with_Data_Basic
4543-5993-Spatial-Data,02-Scalar_Types_and_Control_Flow Quiz,2026-02-15 23:59,0,Assignments/Part_01/02-Scalar_Types_and_Control_Flow
4543-5993-Spatial-Data,02-Scalar_Types_and_Control_Flow,2026-02-15 23:59,0,Assignments/Part_01/02-Scalar_Types_and_Control_Flow/notebooks
4543-5993-Spatial-Data,01-Working_with_Data_Basic,2026-02-15 23:59,0,Assignments/Part_01/01-Working_with_Data_Basic/notebooks
4543-5993-Spatial-Data,03-Loops_and_Iteration,2026-02-15 23:59,0,Assignments/Part_01/03-Loops_and_Iteration/notebooks
4543-5993-Spatial-Data,04-Foundations Quiz,2026-02-22 23:59,0,Assignments/Part_01/04-Foundations
4543-5993-Spatial-Data,05-Working_with_Data_Adv Quiz,2026-02-22 23:59,0,Assignments/Part_01/05-Working_with_Data_Adv
4543-5993-Spatial-Data,06-Describing_and_Visualizing_Data Quiz,2026-02-22 23:59,0,Assignments/Part_01/06-Describing_and_Visualizing_Data
4543-5993-Spatial-Data,06-Describing_and_Visualizing_Data,2026-02-22 23:59,0,Assignments/Part_01/06-Describing_and_Visualizing_Data/notebooks
4543-5993-Spatial-Data,05-Working_with_Data_Adv,2026-02-22 23:59,0,Assignments/Part_01/05-Working_with_Data_Adv/notebooks
4543-5993-Spatial-Data,04-Foundations,2026-02-22 23:59,0,Assignments/Part_01/04-Foundations/notebooks
4543-5993-Spatial-Data,Editing and Simplifying Spatial Data,2026-03-01 23:59,0,Assignments/.Part_02/02-Raw_Spatial_Data/notebooks/02C-Paths_And_Movement
4543-5993-Spatial-Data,Editing and Simplifying Spatial Data,2026-03-01 23:59,0,Assignments/.Part_02/02-Raw_Spatial_Data/notebooks/02D-Bounding_Reality
4543-5993-Spatial-Data,02A — When Coordinates Aren’t Enough,2026-03-01 23:59,0,Assignments/.Part_02/02-Raw_Spatial_Data/notebooks/02A-When_Coordinates_Arent_Enough
4543-5993-Spatial-Data,Spatial Failure Modes and Data Pitfalls,2026-03-01 23:59,0,Assignments/.Part_02/02-Raw_Spatial_Data/notebooks/02E-Spatial_Failure_Modes_and_Data_Pitfalls
4543-5993-Spatial-Data,02b — Distance Depends on Assumptions,2026-03-01 23:59,0,Assignments/.Part_02/02-Raw_Spatial_Data/notebooks/02B-Distance_Depends_on_Assumptions
4543-5993-Spatial-Data,Spatial Thinking Synthesis and Check,2026-03-01 23:59,0,Assignments/.Part_02/02-Raw_Spatial_Data/notebooks/02F-Spatial_Thinking_Synthesis_and_Check
